wiki	article_count
en	5779516
ceb	5379752
sv	3761531
de	2254737
fr	2069464
nl	1953504
ru	1518909
es	1496759
it	1489914
pl	1313943
war	1263655
vi	1198935
ja	1133981
zh	1038591
pt	1013751
uk	877664
ar	653195
fa	651763
sr	614211
ca	599493
no	499741
id	450766
fi	449351
sh	447515
hu	441947
ko	438929
cs	419115
ro	390848
ms	323227
tr	321016
eu	309941
eo	253191
hy	250020
bg	248310
da	241947
he	236088
sk	227994
zh_min_nan	227733
kk	227647
min	222664
ce	208967
hr	201390
lt	193293
et	185103
sl	163171
be	160056
el	156931
gl	153504
ur	144481
az	142375
